Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|3|Translated by Shoghi Effendi with the assistance of some English friends
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|43|O Son of Being! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|44|With the hands of power I made thee and with the fingers of strength I created thee; and within thee have I placed the essence of My light. Be thou content with it and seek naught else, for My work is perfect and My command is binding. Question it not, nor have a doubt thereof. 
Bahá’í|Bahá’u’lláh|The Hidden Words |13|section|45|13
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|46|O Son of Spirit! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|47|I created thee rich, why dost thou bring thyself down to poverty? Noble I made thee, wherewith dost thou abase thyself? Out of the essence of knowledge I gave thee being, why seekest thou enlightenment from anyone beside Me? Out of the clay of love I molded thee, how dost thou busy thyself with another? Turn thy sight unto thyself, that thou mayest find Me standing within thee, mighty, powerful and self-subsisting. 
Bahá’í|Bahá’u’lláh|The Hidden Words |14|section|48|14
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|49|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|50|Thou art My dominion and My dominion perisheth not; wherefore fearest thou thy perishing? Thou art My light and My light shall never be extinguished; why dost thou dread extinction? Thou art My glory and My glory fadeth not; thou art My robe and My robe shall never be outworn. Abide then in thy love for Me, that thou mayest find Me in the realm of glory. 
Bahá’í|Bahá’u’lláh|The Hidden Words |15|section|51|15
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|52|O Son of Utterance! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|53|Turn thy face unto Mine and renounce all save Me; for My sovereignty endureth and My dominion perisheth not. If thou seekest another than Me, yea, if thou searchest the universe forevermore, thy quest will be in vain. 
Bahá’í|Bahá’u’lláh|The Hidden Words |16|section|54|16
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|55|O Son of Light! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|56|Forget all save Me and commune with My spirit. This is of the essence of My command, therefore turn unto it. 
Bahá’í|Bahá’u’lláh|The Hidden Words |17|section|57|17
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|58|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|59|Be thou content with Me and seek no other helper. For none but Me can ever suffice thee. 
Bahá’í|Bahá’u’lláh|The Hidden Words |18|section|60|18
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|61|O Son of Spirit! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|62|Ask not of Me that which We desire not for thee, then be content with what We have ordained for thy sake, for this is that which profiteth thee, if therewith thou dost content thyself. 
Bahá’í|Bahá’u’lláh|The Hidden Words |19|section|63|19
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|64|O Son of the Wondrous Vision! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|65|I have breathed within thee a breath of My own Spirit, that thou mayest be My lover. Why hast thou forsaken Me and sought a beloved other than Me? 
Bahá’í|Bahá’u’lláh|The Hidden Words |20|section|66|20
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|67|O Son of Spirit! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|68|My claim on thee is great, it cannot be forgotten. My grace to thee is plenteous, it cannot be veiled. My love has made in thee its home, it cannot be concealed. My light is manifest to thee, it cannot be obscured. 
Bahá’í|Bahá’u’lláh|The Hidden Words |21|section|69|21
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|70|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|71|Upon the tree of effulgent glory I have hung for thee the choicest fruits, wherefore hast thou turned away and contented thyself with that which is less good? Return then unto that which is better for thee in the realm on high. 
Bahá’í|Bahá’u’lláh|The Hidden Words |22|section|72|22
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|73|O Son of Spirit! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|74|Noble have I created thee, yet thou hast abased thyself. Rise then unto that for which thou wast created. 
Bahá’í|Bahá’u’lláh|The Hidden Words |23|section|75|23
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|76|O Son of the Supreme! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|77|To the eternal I call thee, yet thou dost seek that which perisheth. What hath made thee turn away from Our desire and seek thine own? 
Bahá’í|Bahá’u’lláh|The Hidden Words |24|section|78|24
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|79|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|80|Transgress not thy limits, nor claim that which beseemeth thee not. Prostrate thyself before the countenance of thy God, the Lord of might and power. 
Bahá’í|Bahá’u’lláh|The Hidden Words |25|section|81|25
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|82|O Son of Spirit! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|83|Vaunt not thyself over the poor, for I lead him on his way and behold thee in thy evil plight and confound thee forevermore. 
Bahá’í|Bahá’u’lláh|The Hidden Words |26|section|84|26
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|85|O Son of Being! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|86|How couldst thou forget thine own faults and busy thyself with the faults of others? Whoso doeth this is accursed of Me. 
Bahá’í|Bahá’u’lláh|The Hidden Words |27|section|87|27
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|88|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|89|Breathe not the sins of others so long as thou art thyself a sinner. Shouldst thou transgress this command, accursed wouldst thou be, and to this I bear witness. 
Bahá’í|Bahá’u’lláh|The Hidden Words |28|section|90|28
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|91|O Son of Spirit! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|92|Know thou of a truth: He that biddeth men be just and himself committeth iniquity is not of Me, even though he bear My name. 
Bahá’í|Bahá’u’lláh|The Hidden Words |29|section|93|29
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|94|O Son of Being! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|95|Ascribe not to any soul that which thou wouldst not have ascribed to thee, and say not that which thou doest not. This is My command unto thee, do thou observe it. 
Bahá’í|Bahá’u’lláh|The Hidden Words |30|section|96|30
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|97|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|98|Deny not My servant should he ask anything from thee, for his face is My face; be then abashed before Me. 
Bahá’í|Bahá’u’lláh|The Hidden Words |31|section|99|31
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|100|O Son of Being! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|101|Bring thyself to account each day ere thou art summoned to a reckoning; for death, unheralded, shall come upon thee and thou shalt be called to give account for thy deeds. 
Bahá’í|Bahá’u’lláh|The Hidden Words |32|section|102|32
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|103|O Son of the Supreme! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|104|I have made death a messenger of joy to thee. Wherefore dost thou grieve? I made the light to shed on thee its splendor. Why dost thou veil thyself therefrom? 
Bahá’í|Bahá’u’lláh|The Hidden Words |33|section|105|33
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|106|O Son of Spirit! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|107|With the joyful tidings of light I hail thee: rejoice! To the court of holiness I summon thee; abide therein that thou mayest live in peace forevermore. 
Bahá’í|Bahá’u’lláh|The Hidden Words |34|section|108|34
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|109|O Son of Spirit! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|110|The spirit of holiness beareth unto thee the joyful tidings of reunion; wherefore dost thou grieve? The spirit of power confirmeth thee in His cause; why dost thou veil thyself? The light of His countenance doth lead thee; how canst thou go astray? 
Bahá’í|Bahá’u’lláh|The Hidden Words |35|section|111|35
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|112|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|113|Sorrow not save that thou art far from Us. Rejoice not save that thou art drawing near and returning unto Us. 
Bahá’í|Bahá’u’lláh|The Hidden Words |36|section|114|36
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|115|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|116|Rejoice in the gladness of thine heart, that thou mayest be worthy to meet Me and to mirror forth My beauty. 
Bahá’í|Bahá’u’lláh|The Hidden Words |37|section|117|37
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|118|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|119|Divest not thyself of My beauteous robe, and forfeit not thy portion from My wondrous fountain, lest thou shouldst thirst forevermore. 
Bahá’í|Bahá’u’lláh|The Hidden Words |38|section|120|38
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|121|O Son of Being! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|122|Walk in My statutes for love of Me and deny thyself that which thou desirest if thou seekest My pleasure. 
Bahá’í|Bahá’u’lláh|The Hidden Words |39|section|123|39
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|124|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|125|Neglect not My commandments if thou lovest My beauty, and forget not My counsels if thou wouldst attain My good pleasure. 
Bahá’í|Bahá’u’lláh|The Hidden Words |40|section|126|40
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|127|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|128|Wert thou to speed through the immensity of space and traverse the expanse of heaven, yet thou wouldst find no rest save in submission to Our command and humbleness before Our Face. 
Bahá’í|Bahá’u’lláh|The Hidden Words |41|section|129|41
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|130|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|131|Magnify My cause that I may reveal unto thee the mysteries of My greatness and shine upon thee with the light of eternity. 
Bahá’í|Bahá’u’lláh|The Hidden Words |42|section|132|42
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|133|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|134|Humble thyself before Me, that I may graciously visit thee. Arise for the triumph of My cause, that while yet on earth thou mayest obtain the victory. 
Bahá’í|Bahá’u’lláh|The Hidden Words |43|section|135|43
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|136|O Son of Being! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|137|Make mention of Me on My earth, that in My heaven I may remember thee, thus shall Mine eyes and thine be solaced. 
Bahá’í|Bahá’u’lláh|The Hidden Words |44|section|138|44
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|139|O Son of the Throne! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|140|Thy hearing is My hearing, hear thou therewith. Thy sight is My sight, do thou see therewith, that in thine inmost soul thou mayest testify unto My exalted sanctity, and I within Myself may bear witness unto an exalted station for thee. 
Bahá’í|Bahá’u’lláh|The Hidden Words |45|section|141|45
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|142|O Son of Being! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|143|Seek a martyr’s death in My path, content with My pleasure and thankful for that which I ordain, that thou mayest repose with Me beneath the canopy of majesty behind the tabernacle of glory. 
Bahá’í|Bahá’u’lláh|The Hidden Words |46|section|144|46
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|145|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|146|Ponder and reflect. Is it thy wish to die upon thy bed, or to shed thy lifeblood on the dust, a martyr in My path, and so become the manifestation of My command and the revealer of My light in the highest paradise? Judge thou aright, O servant! 
Bahá’í|Bahá’u’lláh|The Hidden Words |47|section|147|47
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|148|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|149|By My beauty! To tinge thy hair with thy blood is greater in My sight than the creation of the universe and the light of both worlds. Strive then to attain this, O servant! 
Bahá’í|Bahá’u’lláh|The Hidden Words |48|section|150|48
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|151|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|152|For everything there is a sign. The sign of love is fortitude under My decree and patience under My trials. 
Bahá’í|Bahá’u’lláh|The Hidden Words |49|section|153|49
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|154|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|155|The true lover yearneth for tribulation even as doth the rebel for forgiveness and the sinful for mercy. 
Bahá’í|Bahá’u’lláh|The Hidden Words |50|section|156|50
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|157|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|158|If adversity befall thee not in My path, how canst thou walk in the ways of them that are content with My pleasure? If trials afflict thee not in thy longing to meet Me, how wilt thou attain the light in thy love for My beauty? 
Bahá’í|Bahá’u’lláh|The Hidden Words |51|section|159|51
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|160|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|161|My calamity is My providence, outwardly it is fire and vengeance, but inwardly it is light and mercy. Hasten thereunto that thou mayest become an eternal light and an immortal spirit. This is My command unto thee, do thou observe it. 
Bahá’í|Bahá’u’lláh|The Hidden Words |52|section|162|52
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|163|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|164|Should prosperity befall thee, rejoice not, and should abasement come upon thee, grieve not, for both shall pass away and be no more. 
Bahá’í|Bahá’u’lláh|The Hidden Words |53|section|165|53
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|166|O Son of Being! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|167|If poverty overtake thee, be not sad; for in time the Lord of wealth shall visit thee. Fear not abasement, for glory shall one day rest on thee. 
Bahá’í|Bahá’u’lláh|The Hidden Words |54|section|168|54
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|169|O Son of Being! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|170|If thine heart be set upon this eternal, imperishable dominion, and this ancient, everlasting life, forsake this mortal and fleeting sovereignty. 
Bahá’í|Bahá’u’lláh|The Hidden Words |55|section|171|55
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|172|O Son of Being! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|173|Busy not thyself with this world, for with fire We test the gold, and with gold We test Our servants. 
Bahá’í|Bahá’u’lláh|The Hidden Words |56|section|174|56
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|175|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|176|Thou dost wish for gold and I desire thy freedom from it. Thou thinkest thyself rich in its possession, and I recognize thy wealth in thy sanctity therefrom. By My life! This is My knowledge, and that is thy fancy; how can My way accord with thine? 
Bahá’í|Bahá’u’lláh|The Hidden Words |57|section|177|57
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|178|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|179|Bestow My wealth upon My poor, that in heaven thou mayest draw from stores of unfading splendor and treasures of imperishable glory. But by My life! To offer up thy soul is a more glorious thing couldst thou but see with Mine eye. 
Bahá’í|Bahá’u’lláh|The Hidden Words |58|section|180|58
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|181|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|182|The temple of being is My throne; cleanse it of all things, that there I may be established and there I may abide. 
Bahá’í|Bahá’u’lláh|The Hidden Words |59|section|183|59
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|184|O Son of Being! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|185|Thy heart is My home; sanctify it for My descent. Thy spirit is My place of revelation; cleanse it for My manifestation. 
Bahá’í|Bahá’u’lláh|The Hidden Words |60|section|186|60
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|187|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|188|Put thy hand into My bosom, that I may rise above thee, radiant and resplendent. 
Bahá’í|Bahá’u’lláh|The Hidden Words |61|section|189|61
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|190|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|191|Ascend unto My heaven, that thou mayest obtain the joy of reunion, and from the chalice of imperishable glory quaff the peerless wine. 
Bahá’í|Bahá’u’lláh|The Hidden Words |62|section|192|62
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|193|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|194|Many a day hath passed over thee whilst thou hast busied thyself with thy fancies and idle imaginings. How long art thou to slumber on thy bed? Lift up thy head from slumber, for the Sun hath risen to the zenith, haply it may shine upon thee with the light of beauty. 
Bahá’í|Bahá’u’lláh|The Hidden Words |63|section|195|63
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|196|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|197|The light hath shone on thee from the horizon of the sacred Mount and the spirit of enlightenment hath breathed in the Sinai of thy heart. Wherefore, free thyself from the veils of idle fancies and enter into My court, that thou mayest be fit for everlasting life and worthy to meet Me. Thus may death not come upon thee, neither weariness nor trouble. 
Bahá’í|Bahá’u’lláh|The Hidden Words |64|section|198|64
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|199|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|200|My eternity is My creation, I have created it for thee. Make it the garment of thy temple. My unity is My handiwork; I have wrought it for thee; clothe thyself therewith, that thou mayest be to all eternity the revelation of My everlasting being. 
Bahá’í|Bahá’u’lláh|The Hidden Words |65|section|201|65
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|202|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|203|My majesty is My gift to thee, and My grandeur the token of My mercy unto thee. That which beseemeth Me none shall understand, nor can anyone recount. Verily, I have preserved it in My hidden storehouses and in the treasuries of My command, as a sign of My loving-kindness unto My servants and My mercy unto My people. 
Bahá’í|Bahá’u’lláh|The Hidden Words |66|section|204|66
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|205|O Children of the Divine and Invisible Essence! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|206|Ye shall be hindered from loving Me and souls shall be perturbed as they make mention of Me. For minds cannot grasp Me nor hearts contain Me. 
Bahá’í|Bahá’u’lláh|The Hidden Words |67|section|207|67
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|208|O Son of Beauty! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|209|By My spirit and by My favor! By My mercy and by My beauty! All that I have revealed unto thee with the tongue of power, and have written for thee with the pen of might, hath been in accordance with thy capacity and understanding, not with My state and the melody of My voice. 
Bahá’í|Bahá’u’lláh|The Hidden Words |68|section|210|68
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|211|O Children of Men! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|212|Know ye not why We created you all from the same dust? That no one should exalt himself over the other. Ponder at all times in your hearts how ye were created. Since We have created you all from one same substance it is incumbent on you to be even as one soul, to walk with the same feet, eat with the same mouth and dwell in the same land, that from your inmost being, by your deeds and actions, the signs of oneness and the essence of detachment may be made manifest. Such is My counsel to you, O concourse of light! Heed ye this counsel that ye may obtain the fruit of holiness from the tree of wondrous glory. 
Bahá’í|Bahá’u’lláh|The Hidden Words |69|section|213|69
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|214|O Ye Sons of Spirit! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|215|Ye are My treasury, for in you I have treasured the pearls of My mysteries and the gems of My knowledge. Guard them from the strangers amidst My servants and from the ungodly amongst My people. 
Bahá’í|Bahá’u’lláh|The Hidden Words |70|section|216|70
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|217|O Son of Him that Stood by His Own Entity in the Kingdom of His Self! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|218|Know thou, that I have wafted unto thee all the fragrances of holiness, have fully revealed to thee My word, have perfected through thee My bounty and have desired for thee that which I have desired for My Self. Be then content with My pleasure and thankful unto Me. 
Bahá’í|Bahá’u’lláh|The Hidden Words |71|section|219|71
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|220|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|221|Write all that We have revealed unto thee with the ink of light upon the tablet of thy spirit. Should this not be in thy power, then make thine ink of the essence of thy heart. If this thou canst not do, then write with that crimson ink that hath been shed in My path. Sweeter indeed is this to Me than all else, that its light may endure forever. 
Bahá’í|Bahá’u’lláh|The Hidden Words |3|paragraph|222|Part Two
Bahá’í|Bahá’u’lláh|The Hidden Words |2|chapter|223|From the Persian
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|224|In the Name of the Lord of Utterance, the Mighty.
Bahá’í|Bahá’u’lláh|The Hidden Words |1|section|225|1
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|226|O Ye People that Have Minds to Know and Ears to Hear! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|227|The first call of the Beloved is this: O mystic nightingale! Abide not but in the rose garden of the spirit. O messenger of the Solomon of love! Seek thou no shelter except in the Sheba of the well-beloved, and O immortal phoenix! dwell not save on the mount of faithfulness. Therein is thy habitation, if on the wings of thy soul thou soarest to the realm of the infinite and seekest to attain thy goal. 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|section|228|2
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|229|O Son of Spirit! 
